f,,CREATOR,TITLE,TITLE_PUB,Texte illustré par une photo prise par Roud,CONTRIBUTOR,NUMBER,PLACE,PUBLISHER,DATE,FORMAT,REUSED,TRANSCRIBED,WEBSITE_INTEREST,DIGITIZED,Original dans le fonds Roud CRLR
437,Correspondance,Roud Gustave et Borgeaud Georges,Correspondance 1936-1974,Cahiers Gustave Roud,,éd. Anne-Lise Delacrétaz,12,Lausanne et Carrouge,Association des Amis de Gustave Roud,2008,,,,,,
441,Correspondance,Roud Gustave et Chappaz Maurice,Correspondance 1939-1976,,,éd. Claire Jaquier et Claire de Ribaupierre,,Genève,Zoé,1993,,,,,,
447,Correspondance,Roud Gustave et Chessex Jacques,Correspondance 1953-1976,,,éd. et présentation par Stéphane Pétermann,,Gollion,Infolio,2011,,,,,,
435,Correspondance,Roud Gustave et Colomb Catherine,Correspondance 1945-1964,Cahiers Gustave Roud,,éd. Anne-Lise Delacrétaz,9,Lausanne et Carrouge,Association des Amis de Gustave Roud,1997,,,,,,
433,Correspondance,Roud Gustave et Crisinel Edmond-Henri,Correspondance 1928-1947,Cahiers Gustave Roud,,"éd. Anne-Lise Delacrétaz, avant-propos de Doris Jakubec",7,Lausanne et Carrouge,Association des Amis de Gustave Roud,1997,,,,,,
439,Correspondance,Roud Gustave et Galland Bertil,Correspondance 1957-1976,Cahiers Gustave Roud,,éd. Daniel Maggetti et Nicolas Gex,14,Lausanne et Carrouge,Association des Amis de Gustave Roud,2011,,,,,,
445,Correspondance,Roud Gustave et Jaccottet Philippe,Correspondance 1942-1976,,,éd. et présentation par José-Flore Tappy,,Paris,Gallimard,2002,,,,,,
442,Correspondance,Roud Gustave et Martin Vio,Correspondance littéraire et amoureuse,,,choisie et éd. par Mousse Boulanger et Jeanlouis Cornuz,,Vevey,L'Aire,1994,,,,,,
431,Correspondance,Roud Gustave et Martin Vio,Un hêtre en juillet (Extraits de lettres à une amie),Solaire,,éd. et présentation Vio Martin,24,,,1979,s. n. p.,,,,,
434,Correspondance,Roud Gustave et Matthey Pierre-Louis,Correspondance 1932-1969,Cahiers Gustave Roud,,"éd. Anne-Lise Delacrétaz, avant-propos de Marion Graf",8,Lausanne et Carrouge,Association des Amis de Gustave Roud,1997,,,,,,
436,Correspondance,Roud Gustave et Mercanton Jacques,Correspondance 1948-1972,Cahiers Gustave Roud,,éd. Daniel Maggetti et Stéphane Pétermann,11,Lausanne et Carrouge,Association des Amis de Gustave Roud,2006,,,,,,
446,Correspondance,Roud Gustave et Nicole Georges,Correspondance 1920-1959,,,éd. Stéphane Pétermann,,Gollion,Infolio,2009,,,,,,
448,Correspondance,Roud Gustave et Paulhan Jean,Correspondance Jean Paulhan – Gustave Roud,"Jean Paulhan, C. F. Ramuz, Gustave Roud, Le Patron, le pauvre homme, le solitaire. Lettres, articles et documents",,"Textes établis, annotés et présentés par Daniel Maggetti et Stéphane Pétermann. Contient la traduction du poème de Hölderlin ""Le Rhin"" dans sa version parue dans Mesures.",,Genève,Slatkine,2007,p. 119-140,,,,,
580,Correspondance,Roud Gustave et Ramuz C. F.,Correspondance 1928-1947,Cahiers Gustave Roud,,éd. Ivana Bogicevic et Daniel Maggetti,16,Lausanne et Carrouge,Association des Amis de Gustave Roud,2016,,,,,,
438,Correspondance,Roud Gustave et Raymond Marcel,Correspondance 1942-1976,Cahiers Gustave Roud,,"éd. Nicolas Fleury et Timothée Léchot, avec la collaboration d’Odile Cornuz, préface de Claire Jaquier",13,Lausanne et Carrouge,Association des Amis de Gustave Roud,2009,,,,,,
432,Correspondance,Roud Gustave et Robert Steven-Paul,Lettres de jeunesse 1915-1922,Cahiers Gustave Roud,,"éd. Doris Jakubec, Anne Perrier, Françoise Reymond-Robert",2,Lausanne et Carrouge,Association des Amis de Gustave Roud,1981,,,,,,
,Disque,"Roud, Gustave",Poésie,,,,,Lausanne,Éditions Paroles,[1970],,"Lecture par l'auteur de ""Pigeon"", ""Fernand contre le ciel"", ""Sommeil d'Aimé"", ""Bain d'un faucheur"", Adieu, Requiem (fragments - Prélude, ""Parfois je redescends"")",,,,
450,Journal,Roud Gustave,Journal,,,"préface, choix et éd. Jaccottet Philippe",,Vevey,Bertil Galland,1982,,"Empreintes, 2004.",,,,
451,Journal,Roud Gustave,"Journal, Carnets, cahiers et feuillets, 1916-1971 (2 vol.)",,,éd. Anne-Lise Delacrétaz et Claire Jaquier,,Moudon,Empreintes,2004,,,,,,
585,Œuvre poétique,Roud Gustave,[Autre dictée],Cahiers Gustave Roud,,avant-propos de Philippe Jaccottet,1,Lausanne et Carrouge,Association des Amis de Gustave Roud,1980,p. 72,"Deuxième strophe reprise dans ""Aux marges du Requiem"".",Fait,,,
586,Œuvre poétique,Roud Gustave,[Autre fragment],Cahiers Gustave Roud,,avant-propos de Philippe Jaccottet,1,Lausanne et Carrouge,Association des Amis de Gustave Roud,1980,p. 57,,Fait,,,
501,Œuvre poétique,Roud Gustave,Adieu,,,,,Lausanne,Au Verseau,1927-12-10,,"Éditions des Portes de France, 1944; Écrits, I, 1950; Écrits, I, 1978; Zoé,1997.",,,,Oui
502,Œuvre poétique,Roud Gustave,Adieu,,,,,Porrentruy,Éditions des Portes de France,1944-05-01,,,,,,Oui
503,Œuvre poétique,Roud Gustave,Adieu / Requiem,,,postface de Claire Jaquier,,Genève,Zoé,1997,,,,,,
509,Œuvre poétique,Roud Gustave,Air de la solitude,,,,,Lausanne,Mermod,1945-03,,"Écrits, II, 1950; Écrits, III, 1978; Fata Morgana, 1988; L'Âge d'Homme, 1995.",,,,Oui
510,Œuvre poétique,Roud Gustave,Air de la solitude,,,"préface Christian Bobin, ""Le Pain sur la table""",,Saint-Clément-de-Rivière (Hérault),Fata Morgana,1988,,,,,,
512,Œuvre poétique,Roud Gustave,Air de la solitude et autres écrits,,,préface Philippe Jaccottet,,Paris,Gallimard,2002,,,,,,
511,Œuvre poétique,Roud Gustave,Air de la solitude suivi de Campagne perdue,,,,préface de Jacques Chessex,Lausanne,L'Âge d'Homme,1995,,,,,,
587,Œuvre poétique,Roud Gustave,Aux marges du Requiem,Cahiers Gustave Roud,,avant-propos de Philippe Jaccottet,1,Lausanne et Carrouge,Association des Amis de Gustave Roud,1980,p. 73,Deuxième strophe reprise de [Autre dictée].,Fait,,,
518,Œuvre poétique,Roud Gustave,Campagne perdue,,,,,Lausanne,Bibliothèque des Arts,1972-04-15,,"L'Âge d'Homme, 1995.",,,,Oui
588,Œuvre poétique,Roud Gustave,Chant,Cahiers Gustave Roud,,avant-propos de Philippe Jaccottet,1,Lausanne et Carrouge,Association des Amis de Gustave Roud,1980,p. 48,,Fait,,,
1,Œuvre poétique,Roud Gustave,D'un requiem,L'Alphée,,présentation de Jérôme Garcin,"6 (sur les ""Lettres romandes"")",,,1981,p. 62-64,,,,,
594,Œuvre poétique,Roud Gustave,D'un Requiem ,Gazette de Lausanne,,,93,,,1967-04-22(-23),p. 27,"Le début de Requiem (Payot, 1967), avec une seule différence : ""des oiseaux la blessent parfois"" (dans le recueil : ""des oiseaux parfois la blessent"").",Fait ,,,
496,Œuvre poétique,Roud Gustave,Écrits I,,,,,Lausanne,Mermod,1950-09-15,,"Bibliothèque des Arts, 1978.",,,,Oui
,Œuvre poétique,Roud Gustave,Écrits II,,,,,Lausanne,Mermod,1950-10-15,,"Bibliothèque des Arts, 1978.",,,,Oui
505,Œuvre poétique,Roud Gustave,Essai pour un paradis,,,,,Lausanne,Mermod,1933-05,,"Antidaté de novembre 1932; Écrits, I, 1950; Écrits, I, 1978; Fata Morgana, 1978; L'Âge d'Homme, 1984.",,,,Oui
506,Œuvre poétique,Roud Gustave,Essai pour un paradis,,,préface Philippe Jaccottet,,Montpellier,Fata Morgana,1978,,,,,,
525,Œuvre poétique,Roud Gustave,Essai pour un paradis suivi du Petit Traité de la marche en plaine,,,préface de Philippe Jaccottet,,Lausanne,L'Âge d'Homme,1984,,,,,,
583,Œuvre poétique,Roud Gustave,Étoile,La Gazette Littéraire,,,139,,,1957-06-15(-16),9,"Avec une photographie de bûcherons, de Gustave Roud. Même texte que ""Etoile"", dans ""Le Repos du Cavalier"".",,,,Non
504,Œuvre poétique,Roud Gustave,Feuillets,,,,,Lausanne,Mermod,1929-10,,"Écrits, I, 1950; Écrits, I, 1978.",,,,Oui
494,Œuvre poétique,Roud Gustave,Haut-Jorat,,,postface et éd. Stéphane Pétermann,,Saint-Clément-de-Rivière (Hérault),Fata Morgana,"2001, rééd. 2011",,,,,,
500,Œuvre poétique,Roud Gustave,Haut-Jorat,,,,,Lausanne,Éditions des Terreaux,1949-12-31,,,,,,Oui
499,Œuvre poétique,Roud Gustave,"Haut-Jorat, Texte & photographies",,,avertissement de Philippe Jaccottet,,Lausanne,Payot,1978,,"Castella, 1966; Fata Morgana, 2002.",,,,
520,Œuvre poétique,Roud Gustave,Ici ce conte,,,lithographies originales de Palézieux,,Lausanne,Raynald Métraux,1997,,,,,,
589,Œuvre poétique,Roud Gustave,La Fuite,Cahiers Gustave Roud,,avant-propos de Philippe Jaccottet,1,Lausanne et Carrouge,Association des Amis de Gustave Roud,1980,p. 47,,Fait,,,
590,Œuvre poétique,Roud Gustave,La Maison perdue,Cahiers Gustave Roud,,avant-propos de Philippe Jaccottet,1,Lausanne et Carrouge,Association des Amis de Gustave Roud,1980,p. 17-38,"Contient: ""[Tu dresses, Maison triste…]""; ""[L'heure passe…]""; Le Dimanche hésitant; Trois petits poèmes; A demi et qui hésite; ""[Ton pas près de mon pas…]""; ""[Ce soir seulement…]""; ""[C'était seulement le couchant triste…]""; Philosophie de dix-sept ans; Plus grave; ""[Je vous aime tous, paysages…]"", La Silencieuse visite; Le Retour intérieur; ""[Ma présence inquiète…]""; L'Inverse lumière; Andromaque.",Fait,,,
514,Œuvre poétique,Roud Gustave,Le Repos du cavalier,,,,,Lausanne,Bibliothèque des Arts,1958-10,,"Écrits, III, 1978. L'Aire, 2003. ""Comme on ajoute…"" paraît ici pour la première fois.",,,,Oui
515,Œuvre poétique,Roud Gustave,Le Repos du cavalier,,,préface Jacques Roman,,Vevey,L'Aire,2003,,,,,,
493,Œuvre poétique,Roud Gustave,Les Fleurs et les Saisons,,,éd. et note d'édition Philippe Jaccottet,,Genève,La Dogana,"1991, 2003",,,Pas fait,,,
591,Œuvre poétique,Roud Gustave,Les Loisirs…,Cahiers Gustave Roud,,avant-propos de Philippe Jaccottet,1,Lausanne et Carrouge,Association des Amis de Gustave Roud,1980,p. 77 (fac-similé),,Fait (sous le document des inédits),,,
524,Œuvre poétique,Roud Gustave,Les Poèmes en vers et en versets,Cahiers Gustave Roud,,"avant-propos de Philippe Jaccottet, notes bibliographiques de Doris Jakubec",1,Lausanne et Carrouge,Association des Amis de Gustave Roud,1980,,,,,,
584,Œuvre poétique,Roud Gustave,M'expliquer avec les étoiles,La Gazette Littéraire,,,93,,,1967-04-22(-23),s.n.p.,"Publié à côté d'une photographie de Gustave Roud, un repas paysan. (La même que celle qui fut publiée en 1957).",,,,
592,Œuvre poétique,Roud Gustave,Moulin de Lussery,Cahiers Gustave Roud,,avant-propos de Philippe Jaccottet,1,Lausanne et Carrouge,Association des Amis de Gustave Roud,1980,p. 62-65,"Deuxième partie reprise dans Requiem, Ecrits III, pp. 163-165.",Fait,,,
507,Œuvre poétique,Roud Gustave,"Petit traité de la marche en plaine suivi de Lettres, dialogues et morceaux",,,,,Lausanne,Mermod,1932-06,,"Écrits, I, 1950; Écrits, I, 1978; L'Âge d'Homme, 1984.",,,,Oui
582,Œuvre poétique,Roud Gustave,Poésie,,,,,Lausanne,Atelier Saint-Prex et Jean Genoud,2003,,"Avec un fac-similé du manuscrit de Julien Bogousslavsky et une gravure de Palézieux. Info non vérifiée. Cf. Conférence, 17, 2003.",,,,
508,Œuvre poétique,Roud Gustave,Pour un moissonneur,,,,,Lausanne,Mermod,1941-04-07,,"Écrits, II, 1950; Écrits, II, 1978; Gallimard, 2002.",,,,Oui
517,Œuvre poétique,Roud Gustave,Requiem,,,,,Lausanne,Payot,1967-11-08,,"Payot, rééd. 1968, 1977; Zoé, 1997.",Fait,,,Oui
519,Œuvre poétique,Roud Gustave,"Requiem, Présentation, lecture et analyse des manuscrits",Cahiers Gustave Roud,,éd. critique par Adrien Pasquali,10,Lausanne et Carrouge,Association des Amis de Gustave Roud,1997,,,,,,
593,Œuvre poétique,Roud Gustave,Vers libres (très),Cahiers Gustave Roud,,avant-propos de Philippe Jaccottet,1,Lausanne et Carrouge,Association des Amis de Gustave Roud,1980,p. 13-16,"Contient: ""Ecrit un jour de pluie""; ""Sur un lis""; ""Sur une pervenche"".",Fait (sous le document des inédits),,,
495,Œuvre poétique,"Roud, Gustave",Écrits I,,,éd. Philippe Jaccottet,,Lausanne,La Bibliothèque des Arts,1997,,rééd. 1989.,,,,
,Œuvre poétique,"Roud, Gustave",Écrits II,,,éd. Philippe Jaccottet,,Lausanne,La Bibliothèque des Arts,1997,,rééd. 1989.,,,,
,Œuvre poétique,"Roud, Gustave",Écrits III,,,éd. Philippe Jaccottet,,Lausanne,La Bibliothèque des Arts,1997,,rééd. 1989.,,,,
350,Périodique,Anex Georges et Roud Gustave,En hommage à Gustave Roud,La Nouvelle Revue française,,,58,,,1957-10,785-786,Fragment du texte d'Anex paru dans Arts et Lettres et d'une lettre de Roud à Nicole,Fait,,,
356,Périodique,Auberjonois René,Extraits des lettres d’Auberjonois,"Schweizer Kunst, Art Suisse, Arte Svizzera",,,9,,,1958-09,p. 94-100,Lettres d'Auberjonois à Roud.,Pas fait,,,Oui
378,Périodique,Roud Gustave,Notre monde périssable sauvé par la poésie,Gazette de Lausanne,,,,,,1965-11-20(-21),p. 19,,Fait,,,Oui
102,Périodique,Roud Gustave,"""Actualités sonores"" (rubrique ""Aujourd'hui"")",Aujourd'hui,,"texte non signé, de Roud?",47,,,1930-10-23,p. 1,,Fait,,,
390,Périodique,Roud Gustave,"""Bain d'un faucheur"" et ""Extrême automne""","Anthologie de la poésie française, le XXe siècle",,,vol. 12,Lausanne,Rencontre,1967-,p. 98-102,,Pas fait,,,
118,Périodique,Roud Gustave,"""Un cyclone à la Jamaïque""",Aujourd'hui,,texte non signé,66,,,1931-03-05,p. 7,Sur l'ouvrage du même titre par Robert Hugues.,Fait,,,
263,Périodique,Roud Gustave,"[""Car, hélas ! la passion aveugle…""]",Exposition Jean Louis Clerc,,,,,,1947-11,s. n. p.,,Fait,,,Oui
146,Périodique,Roud Gustave,[À cette heure où déjà séparé de nos vies…],Revue de Belles-Lettres,,,7,,,1932,p. 211-213,"Cahiers 1, p. 49-50.",Fait,,,
361,Périodique,Roud Gustave,"[Amitié, amour, piété…]",Gazette de Lausanne,,,,,,1959-05-02(-03),p. 9-10,"Dans l'article ""Georges Nicole vu par ses amis"". Avec la traduction d'un extrait de Novalis. ",Fait,,,Oui
211,Périodique,Roud Gustave,"[Après la mort de Sophie…] (rubrique ""Le petit courrier des lettres…"", chronique ""En 50 lignes"")",La Semaine de la femme,,,5,,,1942-01-31,p. 12 et 35,À propos d’Enfance et de Destinée d’Hélène Champvent.,Fait,,,Non
210,Périodique,Roud Gustave,"[Aux derniers mois de l'an 1874…] (chronique ""En 50 lignes"")",La Semaine de la femme,,,1,,,1942-01-03,p. 18,À propos de la Dernière Mode de Mallarmé.,Fait,,,Non
425,Périodique,Roud Gustave,[C'est presque un crime de lèse-majesté],La Révolution d'Agaune,,Fernand Gay,,Nyon,Cyclades,1982-,p. 289-290,Deux lettres de Gustave Roud à Edmond Humeau.,Pas repris,,,
110,Périodique,Roud Gustave,"[Carrouge (Altit. 725 m.)…], Funérailles de Joffre, (rubrique ""Écrit à Carrouge"")",Aujourd'hui,,,59,,,1931-01-15,p. 5-6,"Le paragraphe commençant par “Le bûcheron qui a eu la poitrine...” est repris avec quelques variantes dans Air de la solitude, Ecrits II, p.111-112. Le dernier paragraphe, “La Saison du signe”, est repris et modifié dans Campagne perdue, Ecrits III, p.127-128. Ecrit à Carrouge, p. 33-38.",Fait,,,Oui
596,Périodique,Roud Gustave,"[Carrouge, vous avez voulu me tendre]","Revue de Belles-Lettres, Mémorial Jean Cocteau",,,,,,1969,p. 4,,Fait,,,Oui
427,Périodique,Roud Gustave,[Chers amis…],Poésie suisse romande,,"éd. Mousse Boulanger, Vahé Godel et Peter Schnyder",18,Namur,Sources - Revue de la Maison de la Poésie,1997-,p. 9,"Reprise du texte paru dans Camp de Dessin, Expression, Recherches.",Pas repris,,,
612,Périodique,Roud Gustave,[Chers amis…],"Camp de dessin, Expressions, Recherches",,,,[Poët-Laval],,[1969],s. n. p.,"Camp de dessin à Poët-Laval du 21 au 31 juillet 1969. Repris dans Poésie suisse romande, 1997",Fait,,,Oui
389,Périodique,Roud Gustave,[Dans l'insigne honneur…],Études de lettres,,,2,,,1967-04(-06),p. 123-128,Texte de l’allocution de G.Roud lors de la remise du Prix de la Ville de Lausanne.,Fait,,,Oui
459,Périodique,Roud Gustave,"[Ecoute, c'est la pluie, écoute !…]",La Flamme,,,,,,1972-07,p. 11,,Fait,,,
30,Périodique,Roud Gustave,"[Entre tant d'avantages…] (rubrique ""Notes et chroniques, Poèmes"")",La Revue romande,,,"4ème série, 14",,,1920-12-25,p. 15-16,,Fait,,,
363,Périodique,Roud Gustave,[Immobile dans le soleil du soir...],Bulletin des anciens élèves du collège de Nyon,,,13,,,1959-11,p. 9,Hommage à Georges Nicole,Fait,,,Non
116,Périodique,Roud Gustave,"[Je n'ai jamais retrouvé ce village…] (rubrique ""Écrit à Carrouge"")",Aujourd'hui,,,65,,,1931-02-26,p. 4-5,"Repris et modifié dans “Récit”, Air de la solitude, Écrits II, p. 113-123. Ecrit à Carrouge, p.44-52. Voir aussi ""Soirées au village"", Lectures du foyer, janvier 1940, p. 26-27.",Fait,,,
19,Périodique,Roud Gustave,[La lente conquête qu'un peintre entreprend…],Palézieux,,"Catalogue de l'exposition au Musée Jenisch, Vevey, du 21 mai au 6 août 1989",,Vevey,Musée des Beaux-Arts,1989,p. 7-10,reprise d'un texte de décembre 1954,,,,
404,Périodique,Roud Gustave,[La porte est ouverte…],"Études de Lettres, Au fil de la mémoire",,,4,,,1972-10(-12),p. 89,Extraits de deux articles différents sur Auberjonois,Pas repris,,,Oui
209,Périodique,Roud Gustave,"[Les jardins morts…] (rubrique ""Le petit courrier des lettres…"", chronique ""En 50 lignes"")",La Semaine de la femme,,,1,,,1942-01-03,p. 16 et 34,"À propos de Ramuz, Aline, suivie de cinq nouvelles, La Guilde du livre.",Fait,,,Non
298,Périodique,Roud Gustave,"[Lieu de toutes les rencontres, cette ville encore proche]",Lausanne,,,,Lausanne,La Guilde du Livre,1952,p. 93,,Fait,Oui,,
289,Périodique,Roud Gustave,[Ouvre les yeux ferme les yeux…],La Guilde du Livre,,,12,,,1950-12,p. 264-265,Extrait en facsimilé de deux pages de Paris des rêves.,Fait,,,Oui
300,Périodique,Roud Gustave,[Pardonnez-moi si je déçois votre attente…],La Guilde du Livre,,,8,,,1952-08,p. 223,"Tiré de Présence de Ramuz. Repris de ""Avec Ramuz"", 1951.",Fait,,,Non (mais dans boîte La Guilde du Livre)
595,Périodique,Roud Gustave,[Peut-être certains s'étonneront-ils…],"Revue de Belles-Lettres, ""Edmond-Henri Crisinel""",,,1,,,1968,p. 19,"Brève introduction à ""Deux lettres à Gustave Roud"" de Crisinel.",Pas fait,,,Oui
394,Périodique,Roud Gustave,[Peut-être la brève présentation…],"Catherine Colomb, Œuvres",,préface Gustave Roud,,Lausanne,Rencontre,1968-,pp. 7-25,"Repris dans Lectures, pp. 131-146, et dans Catherine Colomb, Œuvres complètes, tome premier",Fait,,,
93,Périodique,Roud Gustave,"[Pour arrêter le sang…] (rubrique ""Textes"")",Aujourd'hui,,,32,,,1930-07-10,p. 2 et 5,"Recommandations et recettes tirées du Livre à François-Louis-J., de Démoret daté de 1808, sans commentaire de Roud.",Fait,,,
3,Périodique,Roud Gustave,"[Pour gagner en jouant…] (rubrique ""Notes"")",Aujourd'hui,,"Textes non signés, s'agit-il de Gustave Roud?",44,,,1930-10-02,p. 5,,Fait,,,
307,Périodique,Roud Gustave,[Pour peu qu'elle évoque…],"Feuille d’avis de Lausanne, supplément illustré à l'occasion des 150 ans du canton de Vaud",,,,,,1953-03-11,"s.i.p. (Ce cahier spécial n'est pas numéroté, mais la page correspond à la page 37 du journal.)","Cahiers, 6, p. 127-131.",Fait,Oui,,Oui
297,Périodique,Roud Gustave,[Puis-je sans être importun vous demander l'hospitalité] (rubrique: Correspondance),Revue de Suisse,,,7,,,1952-04-30,p. 145-148,,Fait,,,
233,Périodique,Roud Gustave,[Que de vies attendent le regard d'autrui…],"Jean Clerc, Sculpteur, 1908-1933",,,,Lausanne,Éditions de Mon Repos,1943-11-12,p. 27-29,"Salut à quelques peintres, p. 95-98.",Fait,,,Non
342,Périodique,Roud Gustave,[Rien n’est plus intolérable…],Gazette de Lausanne,,,,,,1956-11-17(-18),p. 9,La Gazette propose à différents écrivains de réagir à l'insurrection de Budapest (oct-nov 1956).,Fait,,,Oui
213,Périodique,Roud Gustave,"[Sans nul doute…] (rubrique ""Le petit courrier des arts et des lettres…"", chronique ""En 50 lignes"")",La Semaine de la femme,,,15,,,1942-04-11,p. 5,À propos des Mystères de Paris d’Eugène Sue et de Feu M. le Duc de Paul Morand.,Fait,,,Non
2,Périodique,Roud Gustave,"[Une femme (Catherine Mansfield…]; Autre paradis (rubrique ""Aujourd'hui"")",Aujourd'hui,,Textes non signés,31,,,1930-07-03,p. 1,,Fait,,,
236,Périodique,Roud Gustave,[Une imagerie au mètre carré…],Revue de l’Édition,,,Numéro spécimen,,,1944-03-15,p. 16-17,"Avant les autruches, après les iguanes, p. 335-336.",Fait,,,Non
388,Périodique,Roud Gustave,[Voies étranges du souvenir…],"C. F. Ramuz, [Questions]",,"postface de Gustave Roud, datée du 28 février 1967",,Lausanne,Max Roth,1967-,s.n.p.,"Texte reproduit dans Construire, 17 mai 1967 (""Voilà vingt ans s'éteignait le grand Ramuz"").",Fait,,,
614,Périodique,Roud Gustave,8 écrivains suisses répondent à nos questions,Jeunesse ,,,2,,,1955-02(03) ,p. 8,À propos de la lecture à l'école. Courte Interview.,Fait,,,Non
67,Périodique,Roud Gustave,"À propos d’une prière (rubrique ""Textes"" (chronique))",Aujourd'hui,,,9,,,1930-01-30,p. 6,,Fait,,,
91,Périodique,Roud Gustave,À propos de rythmes,Aujourd'hui,,,31,,,1930-07-03,p. 5,,Fait,,,
328,Périodique,Roud Gustave,À propos des œuvres complètes de Ramuz,Gazette de Lausanne,,,,,,1955-03-24,p. 7,"Article qui fait suite au débat du 8-9 janvier 1955, entre G. Roud et E. Buenzod (Gazette de Lausanne).",Fait,,,Oui
326,Périodique,Roud Gustave,"À propos des Œuvres complètes de Ramuz, une discussion entre Gustave Roud et Emmanuel Buenzod",Gazette de Lausanne,,,,,,1955-01-08(-09),p. 9,"Réponse à l'article d'Emmanuel Buenzod, ""Situation de Ramuz"", Gazette littéraire, 27 novembre 1954. Voir aussi E. Buenzod, ""Le village non brûlé"", Revue de Suisse, n°5, 20 février 1952, p. 145-151. L'article de Roud sera prolongé par un autre article, le 24 mars 1955, dans la Gazette de Lausanne.",Fait,,,
449,Périodique,Roud Gustave,A.-J. Bataillard dialogue avec M. Gustave Roud,Joie,,,1,,,1943-10,p. 6 et 12,"Contient une traduction par Roud de Hölderlin: ""Prière aux Parques"". (et une traduction par Pierre Jean Jouve dans la NRF, en 1929, de ""Moitié de la vie"").",Fait,,,Oui
237,Périodique,Roud Gustave,Adieu à une route morte,La Guilde du Livre,,,4,,,1944-04,p. 60-62,"Repris avec quelques variantes dans “Adieu à une route morte”, Air de la solitude, Ecrits II, p. 132-138",Fait,,,Oui
202,Périodique,Roud Gustave,Air de la solitude,La Guilde du Livre,,,4,,,1941-04,p. 62-64,"“Air de la solitude”, Air de la solitude, Ecrits II, p. 149-156 (sans les photographies).",Fait,,,Oui
305,Périodique,Roud Gustave,Air de la solitude,Feuille centrale de Zofingue,,,2,,,1953-01,p.100-104,"Reprend le poème “Air de la solitude”, Air de la solitude, Ecrits II, p.149-156.",Fait,,,Non
602,Périodique,Roud Gustave,Air de la solitude,"S. Corinna Bille, Maurice Chappaz",,,,,Zofingue,1953-01,p. 65-69,,,,,Oui
168,Périodique,Roud Gustave,Alain-Fournier et Le Grand Meaulnes,La Guilde du Livre,,,2,,,1937-02,p. 18-21,"Lectures, p. 37-41",Fait,,,Oui
345,Périodique,Roud Gustave,Anniversaire,La Guilde du Livre,,,5,,,1957-05,p. 170-171,"Ramuz, vingt ans après, numéro thématique de la Revue neuchâteloise, 38, 1967, p. 1-2 Avec Ramuz, p. 9-16.",Fait,,,Non (mais dans boîte La Guilde du Livre)
386,Périodique,Roud Gustave,Anniversaire,Revue neuchâteloise,,,"11e année, 38",,,"1967, printemps",p. 1-2,"Reprise du texte de Avec Ramuz, lui-même repris, avec de légères modifications, de l'article paru dans le Bulletin mensuel de La Guilde du Livre, 5, 1957.",Pas fait,,,Oui
147,Périodique,Roud Gustave,Annonce d'un Adieu,Présence,,,4,,,1932,p. 28-29,Poème liminaire d'Adieu,Fait,,,
415,Périodique,Roud Gustave,Appel d'hiver,"Poésie 1, La poésie française de Suisse",,,31,,,1973-05(-06),p. 102-105,"Ce texte est repris, avec deux modifications de ponctuation, de Pour un moissonneur (Mermod, 1941).",Pas repris,,,Oui
186,Périodique,Roud Gustave,"Appel d’hiver (rubrique ""Saisons"")",Suisse romande,,,"3e série, 1",,,1939-02,p. 28-30,"Repris dans “Appel d’hiver”, Pour un moissonneur, Écrits II, p. 60-66.",Fait,,,Oui
62,Périodique,Roud Gustave,Attitudes,Aujourd'hui,,,5,,,1930-01-02,p. 4,,Fait,,,
265,Périodique,Roud Gustave,"Au temps d’""Aujourd’hui""",Suisse contemporaine (Hommage à C.F. Ramuz),,,"XIe série, 9–10",,,1947-11,p. 887-894,"Lectures, p. 83-89.",Fait,,,Oui
362,Périodique,Roud Gustave,Aujourd’hui,Gazette de Lausanne,,,,,,1959-10-31(-11-01),p. 9,"Cet article est repris dans la Préface aux Lettres de C.F. Ramuz (1919-1947), Etoy, Les Chantres, 1959, t.II, p.25-31.",Pas fait,,,Non
156,Périodique,Roud Gustave,Bain d'un faucheur,Présence,,,1,,,1935-02,p. 5-6,"Repris dans Pour un moissonneur, Écrits II, p. 50-52. Ce poème sera également repris dans la revue des Cahiers du sud, en avril 1943.",Fait,,,
174,Périodique,Roud Gustave,Bain d'un faucheur,"Siegfried Lang, Schweizer Dichtung im Querschnitt",,,,Saint-Gall,Zollikofer,1938,p. 239-240,,Fait,,,
252,Périodique,Roud Gustave,Bain d'un faucheur,Horizon,,,74,London,,1946-02,p. 106-107,"Reprend le poème “Bain d’un faucheur” paru dans Pour un moissonneur (1941), Ecrits II, p.50-52. Ce poème avait précédemment été publié dans la revue Présence en février 1935, ainsi que dans les Cahiers du sud en avril 1943.",Fait,,,Non
613,Périodique,Roud Gustave,Bain d'un faucheur,Lesebuch schweizerischer Dichtung,,,,Zurich,Schweizer Bücherfreunde,1938,p. 239-240,,Pas fait,,,
258,Périodique,Roud Gustave,"Bain d'un faucheur, Le cerisier",Poètes d'aujourd'hui,,,,Lausanne,La Guilde du Livre,1947,p. 343-345,"Reprise du ""Bain d'un faucheur"" de Pour un Moissonneur et, avec quelques modifications, du ""Cerisier"" paru dans Aujourd'hui, 12 juin 1930. Contient la traduction par Roud tirées de Poëmes d'Hölderlin, ""Prière aux Parques"" et ""Le cimetière"" (pp. 298-299).",Pas fait,,,Non
